Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your age?,What is your sex?,What is your ethnicity?,"If you selected ""more than one"" or ""other,"" please explain:",Please choose the highest level of education that your parents attained (choose one),Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Using the 7-point scale below, please indicate the
extent to which you have felt this way in the past 24 hours: - Happy","Using the 7-point scale below, please indicate the
extent to which you have felt this way in the past 24 hours: - Worried / Anxious","Using the 7-point scale below, please indicate the
extent to which you have felt this way in the past 24 hours: - Pleased","Using the 7-point scale below, please indicate the
extent to which you have felt this way in the past 24 hours: - Angry / Hostile","Using the 7-point scale below, please indicate the
extent to which you have felt this way in the past 24 hours: - Frustrated","Using the 7-point scale below, please indicate the
extent to which you have felt this way in the past 24 hours: - Depressed / Blue","Using the 7-point scale below, please indicate the
extent to which you have felt this way in the past 24 hours: - Relaxed / Calm","Using the 7-point scale below, please indicate the
extent to which you have felt this way in the past 24 hours: - Unhappy","Using the 7-point scale below, please indicate the
extent to which you have felt this way in the past 24 hours: - Enjoyment / Fun","Using the 7-point scale below, please indicate the
extent to which you have felt this way in the past 24 hours: - Peaceful / Serene","Using the 7-point scale below, please indicate the
extent to which you have felt this way in the past 24 hours: - Dull / Bored","Using the 7-point scale below, please indicate the
extent to which you have felt this way in the past 24 hours: - Joyful",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please
rate your agreement with each of the five statements below. Use the 7-point
scale provided. - In most ways my life is close to my ideal","Please
rate your agreement with each of the five statements below. Use the 7-point
scale provided. - The conditions of my life are excellent","Please
rate your agreement with each of the five statements below. Use the 7-point
scale provided. - I am satisfied with my life","Please
rate your agreement with each of the five statements below. Use the 7-point
scale provided. - So far I have gotten the important things I want in life","Please
rate your agreement with each of the five statements below. Use the 7-point
scale provided. - If I could live my life over, I would change almost nothing",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Q39 - I felt a sense of contact with people who care for me, and whom I care for",Q39 - I was lonely,Q39 - I felt close and connected with other people who are important to me,Q39 - I felt unappreciated by one or more important people,Q39 - I felt a strong sense of intimacy with the people I spent time with,Q41 - I had disagreement or conflicts with people I usually get along with,Q41 - I was successfully completing difficult tasks and projects,"Q41 - I experienced some kind of failure, or was unable to do well at something",Q41 - I took on and mastered hard challenges,"Q41 - I did something stupid, that made me feel incompetent",Q43 - I did well even at the hard things,Q43 - I struggled doing something I should be good at,Q43 - I was free to do things my own way,Q43 - I had a lot of pressures I could do without,Q43 - My choices expressed my true self,Q45 - There were people telling me what I had to do,Q45 - I was really doing what interests me,Q45 - I had to do things against my will,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Condition
1/11/18 17:20,1/11/18 17:23,0,100,167,1,1/11/18 17:23,R_9AnA78L6v1th4id,,,,,anonymous,EN,1.315,1.315,4.015,1,18,2,2,,4,0.838,33.85,35.119,25,3,4,3,4,4,2,2,3,4,3,2,3,4.404,29.591,30.864,33,5,6,4,5,1,3.925,25.834,26.74,21,5,3,4,2,3,5,5,3,2,5,2,3,2,3,3,3,3,3,2.541,49.046,49.674,59,1
1/11/18 17:38,1/11/18 17:49,0,100,649,1,1/11/18 17:49,R_5vgktDZQ0WpvEyJ,,,,,anonymous,EN,0,0,53.403,0,18,2,6,,1,1.637,26.089,28.477,6,5,4,3,2,4,1,4,2,5,4,2,3,84.558,116.914,117.875,13,3,3,3,5,2,104.172,232.316,233.406,5,4,2,4,3,4,1,3,4,2,3,2,4,3,3,3,2,3,3,5.082,132.83,143.85,20,2
1/11/18 17:42,1/11/18 17:49,0,100,403,1,1/11/18 17:49,R_3PeavEZ8Ih8KNnr,,,,,anonymous,EN,0,0,4.49,0,18,1,6,,3,1.815,55.665,57.711,4,7,1,1,1,1,1,1,1,6,4,1,5,58.411,87.766,88.88,12,7,5,6,2,6,12.94,63.44,64.257,6,5,1,4,3,3,3,5,1,1,5,1,3,4,1,3,1,2,1,4.519,168.523,169.125,19,2
1/11/18 17:43,1/11/18 17:50,0,100,399,1,1/11/18 17:50,R_3oEHmhwvZ5CqL9c,,,,,anonymous,EN,18.585,18.585,19.675,1,18,2,2,,5,2.914,30.098,30.924,12,6,5,5,3,3,2,3,2,5,4,4,5,7.875,41.017,42.142,16,6,6,5,4,3,7.486,18.594,20.924,6,4,2,4,2,1,2,4,2,3,3,3,2,3,3,4,1,3,1,5.465,103.932,105.165,27,1
1/11/18 18:24,1/11/18 18:31,0,100,422,1,1/11/18 18:31,R_1hNcFymP08LXBUZ,,,,,anonymous,EN,4.214,81.696,83.971,18,21,2,6,,1,1.258,40.976,44.143,12,4,6,5,2,4,6,3,6,2,3,4,4,12.243,62.632,63.81,16,5,5,6,7,5,12.862,34.301,35.74,6,5,5,3,1,2,3,4,1,5,1,4,1,3,2,4,1,5,1,18.961,122.667,124.809,18,2
1/11/18 18:34,1/11/18 18:39,0,100,283,1,1/11/18 18:39,R_2D7al9oyw3NPdYR,,,,,anonymous,EN,0,0,6.98,0,19,2,6,,3,1.782,40.204,44.55,10,6,4,5,1,2,2,4,3,5,3,5,6,10.21,45.915,46.928,16,5,5,5,4,4,13.092,36.981,38.109,8,4,2,5,2,3,1,4,2,2,2,3,1,3,1,4,4,2,1,10.491,104.283,105.351,27,1
1/11/18 18:36,1/11/18 18:43,0,100,400,1,1/11/18 18:43,R_3Hi59lLSUmNhD0x,,,,,anonymous,EN,18.425,28.412,61.279,4,18,1,5,,5,1.07,27.762,31.096,4,3,5,4,1,2,3,4,3,5,4,2,4,4.958,66.533,67.461,16,3,2,6,3,4,43.827,62.787,63.803,6,5,3,4,2,3,1,3,2,2,4,3,2,4,4,3,1,3,3,9.674,163.381,164.399,27,3
1/11/18 18:39,1/11/18 18:43,0,100,256,1,1/11/18 18:43,R_21zElZwAaZG4Sv5,,,,,anonymous,EN,0,0,3.239,0,18,1,6,,1,1.275,56.328,58.391,9,5,4,5,2,5,3,5,2,3,5,6,5,6.115,30.494,31.653,12,5,6,7,2,3,11.155,36.95,37.762,10,5,3,5,1,4,1,4,4,2,1,4,2,3,4,4,1,3,1,7.889,89.108,90.654,20,2
1/11/18 18:55,1/11/18 19:00,0,100,286,1,1/11/18 19:00,R_2fGVGXNfz12OijJ,,,,,anonymous,EN,16.512,56.401,57.588,3,20,2,7,Hispanic and White,5,1.45,49.041,52.234,14,6,5,7,2,4,3,4,3,7,6,4,6,7.976,47.319,47.961,15,5,6,6,5,3,7.64,22.303,23.101,7,5,3,5,1,5,4,4,3,5,2,4,3,4,3,3,3,5,1,18.421,95.93,98.371,23,4
1/11/18 19:37,1/11/18 19:41,0,100,240,1,1/11/18 19:41,R_das6M1exUnJA93P,,,,,anonymous,EN,0,0,5.605,0,18,2,6,,2,1.27,25.288,30.338,7,4,1,2,1,1,5,3,5,2,1,5,2,9.018,51.735,52.76,12,2,7,4,4,3,19.856,33.002,34.058,5,5,3,3,2,3,1,2,5,4,5,3,5,1,5,1,5,2,1,11.851,77.686,78.498,19,2
1/11/18 19:52,1/11/18 19:58,0,100,341,1,1/11/18 19:58,R_rlrXNyYh28ZAXAd,,,,,anonymous,EN,0,0,50.894,0,20,2,2,,2,1.957,28.29,30.366,7,4,5,4,4,6,4,4,5,3,3,4,2,8.906,40.429,41.429,13,3,6,4,5,3,24.761,37.183,38.224,5,4,5,5,2,1,2,3,4,3,5,4,5,3,3,5,5,3,1,4.584,149.73,150.711,19,1
1/11/18 19:56,1/11/18 20:02,0,100,362,1,1/11/18 20:02,R_2uEhghb4x5iVWEu,,,,,anonymous,EN,0,0,32.051,0,34,2,7,"We are all a product of migration, although I may appear white, I believe we are all human.",3,2.033,114.879,119.027,13,7,7,7,3,4,6,1,1,6,4,1,6,8.181,52.197,53.516,14,1,1,7,7,7,11.012,34.897,39.493,6,5,5,5,3,2,1,5,1,5,1,5,5,1,1,5,1,5,1,4.404,97.105,98.497,23,1
1/11/18 20:22,1/11/18 20:25,0,100,174,1,1/11/18 20:25,R_3PnSEA2k5zEQhlW,,,,,anonymous,EN,0,0,7.459,0,19,2,2,,2,1.196,19.894,21.407,4,5,4,4,4,3,2,4,1,4,4,3,5,8.565,42.317,43.105,12,5,3,5,5,3,15.734,30.304,31.287,6,3,2,4,3,4,4,4,4,3,3,3,4,3,4,4,2,4,2,7.025,60.298,61.411,18,2
1/11/18 20:22,1/11/18 20:26,0,100,264,1,1/11/18 20:26,R_24Hj7RVXOra3Phx,,,,,anonymous,EN,15.674,16.612,19.65,2,19,2,7,"white, hispanic",4,1.904,44.921,46.642,9,3,6,4,2,4,5,3,4,4,2,3,3,2.367,38.525,39.905,14,2,6,4,6,5,5.637,25.182,26.365,5,4,3,4,4,4,4,2,3,2,1,1,2,3,5,4,4,3,5,30.707,122.152,123.951,19,3
1/11/18 20:40,1/11/18 20:46,0,100,383,1,1/11/18 20:46,R_xttOoyRvf5WhzgZ,,,,,anonymous,EN,0,0,70.201,0,31,1,6,,2,1.875,29.644,32.326,4,7,2,5,1,2,1,6,2,6,5,2,6,18.411,125.657,126.887,12,7,7,7,7,6,8.359,27.641,29.333,6,5,1,5,2,5,1,4,1,2,4,3,3,5,1,4,2,5,1,21.833,107.44,108.458,18,3
1/11/18 20:42,1/11/18 20:47,0,100,259,1,1/11/18 20:47,R_2rwEYMIMnumgmTJ,,,,,anonymous,EN,84.662,84.662,84.99,1,18,2,2,,5,0.971,17.717,18.773,4,3,4,3,1,3,4,2,3,2,2,1,2,21.548,51.029,51.787,12,2,5,3,5,5,3.547,12.383,13.385,5,4,4,2,4,2,2,3,4,3,4,3,3,4,4,3,4,4,4,4.565,77.637,78.548,18,2
1/11/18 20:53,1/11/18 20:58,0,100,291,1,1/11/18 20:58,R_2tsMHTLLg4Qu4ZX,,,,,anonymous,EN,0,0,53.529,0,18,2,6,,3,1.463,56.026,57.644,7,5,4,4,3,2,3,4,4,5,5,2,5,12.259,55.514,56.425,13,5,5,5,6,6,7.855,22.763,24.181,5,5,2,5,3,5,1,3,1,3,1,3,3,4,3,3,3,4,1,3.909,89.441,90.622,18,4
1/11/18 17:02,1/11/18 19:17,0,8,8098,0,1/11/18 21:02,R_3qVdFRjtNzZPaiD,,,,,anonymous,EN,0,0,2.988,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/18 21:06,1/11/18 21:12,0,100,303,1,1/11/18 21:12,R_3oXGngrojJB8ZZM,,,,,anonymous,EN,3.274,49.087,70.407,14,19,1,2,,4,1.591,29.496,30.568,7,6,5,6,3,1,3,5,4,4,5,6,4,2.765,51.709,53.008,22,2,6,4,3,1,1.234,24.89,26.889,7,3,5,3,2,3,3,4,5,4,5,1,5,4,3,2,4,3,3,2.898,111.939,112.796,21,4
1/11/18 21:18,1/11/18 21:24,0,100,325,1,1/11/18 21:24,R_DBGnOGihgzzYzmh,,,,,anonymous,EN,0,0,84.387,0,18,2,5,,4,5.503,58.119,61.91,6,6,5,6,2,4,4,5,4,6,2,1,6,8.78,55.04,57.151,12,6,7,6,6,4,9.383,26.895,28.523,6,5,3,4,5,5,5,4,2,2,5,4,4,5,5,3,4,3,2,5.197,85.238,86.638,19,4
1/11/18 21:49,1/11/18 21:55,0,100,356,1,1/11/18 21:55,R_3kgKPfDyvenXlqI,,,,,anonymous,EN,21.44,47.91,50.33,2,18,2,3,,2,3.225,37.995,40.302,13,6,5,5,1,1,1,4,2,4,3,2,4,9.723,67.442,69.563,14,6,5,6,6,7,3.093,33.124,34.679,9,4,1,5,1,4,1,4,2,5,1,3,2,2,4,5,3,2,1,2.406,98.925,101.92,23,2
1/11/18 21:47,1/11/18 21:59,0,100,719,1,1/11/18 21:59,R_BqVvmQ6qwJMQMIV,,,,,anonymous,EN,0,0,77.232,0,19,2,5,,5,8.136,39.059,39.743,10,4,5,2,1,2,5,4,4,4,2,5,2,77.737,432.512,433.323,25,5,5,5,5,3,5.503,16.765,17.648,6,3,5,5,1,2,1,4,4,1,1,4,4,4,4,1,1,3,1,33.838,137.255,138.322,41,4
1/11/18 22:27,1/11/18 22:31,0,100,272,1,1/11/18 22:31,R_2wcsiyni9ij7edm,,,,,anonymous,EN,1.949,39.221,40.033,15,19,2,2,,4,0.949,52.374,53.873,30,5,3,6,3,3,2,5,2,5,4,6,4,7.826,64.676,66.572,36,3,5,3,4,5,7.399,35.819,37.168,15,5,5,5,5,5,5,3,5,5,3,5,5,3,5,5,4,4,2,6.949,65.699,66.418,52,3
1/11/18 22:46,1/11/18 22:52,0,100,393,1,1/11/18 22:52,R_3EvbOGBuiFwvwdJ,,,,,anonymous,EN,0,0,32.773,0,19,2,2,,1,1.52,39.081,40.588,8,3,4,3,5,4,3,4,3,3,4,5,3,15.781,79.884,81.087,17,2,5,3,2,2,27.359,61.041,62.266,7,2,4,2,3,2,4,2,3,2,3,2,3,4,5,3,3,2,2,11.889,167.453,168.985,18,4
1/11/18 22:54,1/11/18 23:07,0,100,766,1,1/11/18 23:07,R_2w7C44VBJIGs2Wv,,,,,anonymous,EN,0,0,121.672,0,18,2,8,Egyptian,4,5.398,138.305,144.972,7,6,4,4,3,2,1,4,3,4,3,3,4,47.889,191.309,192.347,17,3,4,5,5,3,54.205,143.052,144.713,5,3,3,5,4,5,4,5,2,5,1,5,3,3,2,4,4,2,1,47.35,149.85,151.324,20,4
1/11/18 23:08,1/11/18 23:22,0,100,863,1,1/11/18 23:22,R_1qWeuRP3GsCHDOR,,,,,anonymous,EN,0,0,490.163,0,20,2,6,,5,1.55,96.067,97.995,7,6,4,3,2,3,1,4,2,5,4,5,4,6.95,45.828,47.082,12,5,6,5,7,6,9.896,26.445,27.576,5,4,2,4,2,2,4,4,4,4,4,4,2,4,2,4,1,4,1,7.742,140.985,142.173,21,1
1/11/18 19:41,1/11/18 19:42,0,8,15,0,1/11/18 23:42,R_3O01Ryrm9Vqy32A,,,,,anonymous,EN,0,0,2.899,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/18 23:48,1/11/18 23:52,0,100,229,1,1/11/18 23:52,R_1Kjbf8cF0Cz9Gln,,,,,anonymous,EN,0,0,20.034,0,18,2,2,,5,1.245,31.193,32.744,4,4,5,4,2,3,3,3,1,4,2,1,4,18.076,61.865,62.947,12,5,5,5,5,5,11.22,24.715,25.824,5,5,1,5,1,5,1,3,2,2,3,3,4,5,3,4,5,3,1,11.435,80.734,81.413,18,3
1/12/18 0:06,1/12/18 0:12,0,100,348,1,1/12/18 0:12,R_bxyMdeiWa71qPbb,,,,,anonymous,EN,15.258,37.337,39.361,5,19,2,6,,3,2.015,41.265,44.089,4,4,2,4,1,2,4,3,1,3,2,4,4,12.216,85.411,86.41,15,5,4,5,5,4,9.974,32.843,34.142,5,4,3,3,2,4,1,2,3,2,1,3,1,4,2,3,4,3,1,6.506,111.648,112.721,21,2
1/12/18 0:26,1/12/18 0:31,0,100,286,1,1/12/18 0:31,R_Rh3RoQMnMoQHEul,,,,,anonymous,EN,0,0,10.834,0,20,2,2,,2,1.39,31.176,34.277,7,4,5,4,2,4,4,4,4,5,4,5,4,8.384,52.609,54.674,13,3,3,2,2,2,11.531,52.904,55.595,8,3,3,3,3,3,3,2,3,2,3,2,2,3,3,2,2,2,2,17.357,120.858,121.94,19,3
1/12/18 0:45,1/12/18 0:50,0,100,310,1,1/12/18 0:50,R_2bJjLiNSktCxPpc,,,,,anonymous,EN,0,0,92.4,0,18,1,2,,4,2.413,38.151,39.764,5,4,2,4,1,2,1,6,2,5,6,5,3,7.067,42.527,47.346,13,2,5,3,3,1,7.301,25.698,27.082,6,1,1,1,5,1,1,4,4,4,1,4,3,3,2,2,1,2,2,9.327,78.122,79.043,19,2
1/12/18 7:51,1/12/18 8:02,0,100,698,1,1/12/18 8:02,R_1GIYGQMtBzDQg3p,,,,,anonymous,EN,0,0,68.413,0,20,1,2,,4,23.731,39.216,40.991,4,5,5,2,2,5,5,2,5,3,2,1,3,16.444,112.547,119.063,13,2,1,1,2,1,27.917,81.231,83.029,7,3,3,2,5,2,5,2,4,1,3,3,1,5,5,4,1,1,1,24.614,350.182,352.239,25,2
1/12/18 9:13,1/12/18 9:23,0,100,606,1,1/12/18 9:23,R_OO6s4UvbkwxQ4md,,,,,anonymous,EN,0,0,239.631,0,19,2,6,,1,8.646,57.374,61.963,8,6,6,6,2,3,2,4,2,7,5,1,5,12.874,67.704,68.656,13,2,1,3,1,1,7.727,39.518,41.286,6,5,1,5,3,5,3,1,5,1,4,2,5,5,4,3,1,2,1,13.499,140.531,150.865,21,1
1/12/18 9:31,1/12/18 9:36,0,100,324,1,1/12/18 9:36,R_1Frl8GR8AL4zTTE,,,,,anonymous,EN,23.893,30.942,38.32,8,20,2,2,,3,1.116,122.299,124.94,10,6,4,4,2,3,2,2,1,6,4,1,6,6.729,58.847,60.375,12,5,4,5,5,6,8.892,28.781,32.676,7,4,3,5,5,5,3,5,4,4,2,5,4,4,4,4,2,4,1,5.474,57.301,59.064,21,4
1/12/18 9:38,1/12/18 9:44,0,100,352,1,1/12/18 9:44,R_2wcVj2vcFsMgORj,,,,,anonymous,EN,0,0,50.208,0,20,2,2,,5,5.525,48.441,51.281,5,4,5,3,4,5,4,2,3,4,2,5,3,9.555,80.515,82.094,16,2,2,3,1,2,11.414,22.821,24.661,5,4,3,4,3,2,1,2,1,1,2,2,1,1,4,2,4,2,2,7.749,111.346,114.091,22,2
1/12/18 10:15,1/12/18 10:18,0,100,224,1,1/12/18 10:18,R_AGOMghQbH0FGSt3,,,,,anonymous,EN,0,0,27.181,0,19,2,2,,1,1.56,24.063,28.871,4,6,5,6,3,3,1,5,2,6,5,4,4,7.934,41.945,42.819,12,5,6,5,6,3,11.836,31.587,33.881,5,4,2,3,2,4,3,4,2,3,2,3,3,4,4,3,2,3,2,9.671,83.322,84.184,20,4
1/12/18 10:18,1/12/18 10:33,0,100,866,1,1/12/18 10:33,R_3KGysvEdm1BpptL,,,,,anonymous,EN,53.219,88.581,213.112,2,19,2,2,,1,21.597,75.095,85.537,9,6,4,5,1,1,1,6,1,4,5,2,5,11.296,134.399,137.546,25,3,4,4,3,2,15.631,73.403,89.949,10,5,2,4,1,4,1,2,2,1,2,3,2,5,4,3,3,4,2,12.578,322.724,329.984,42,4
1/12/18 10:35,1/12/18 10:43,0,100,452,1,1/12/18 10:43,R_yIJ3NmpQqP4cJUt,,,,,anonymous,EN,0,0,87.554,0,19,2,7,White and Hispanic/Latino,5,1.568,59.481,61.626,5,4,3,2,1,3,2,4,2,6,2,4,3,16.735,94.75,98.173,16,5,7,6,7,7,13.727,31.719,39.237,6,5,3,5,1,5,3,5,3,2,5,4,5,2,2,1,5,3,2,14.622,154.562,155.904,18,3
1/12/18 11:01,1/12/18 11:07,0,100,345,1,1/12/18 11:07,R_3q99Y4QYoJWf1Sn,,,,,anonymous,EN,35.612,66.721,70.778,3,18,2,2,,4,1.326,24.499,27.068,5,6,5,6,4,5,2,7,2,7,7,3,5,5.817,59.196,60.211,16,6,7,7,5,2,10.763,33.926,35.327,9,5,1,5,2,3,1,4,4,5,3,3,5,5,2,3,1,4,2,25.896,142.556,143.679,37,4
1/12/18 11:17,1/12/18 11:32,0,100,881,1,1/12/18 11:32,R_3I46rE7fVBx3gwa,,,,,anonymous,EN,0,0,136.269,0,19,1,5,,3,3.358,54.687,59.239,7,7,2,7,2,1,1,6,2,5,6,3,7,15.391,110.514,125.606,14,5,7,6,7,5,28.257,70.043,73.04,5,4,2,3,1,4,1,5,2,4,1,3,3,4,3,4,2,5,1,35.996,308.925,311.881,19,2
1/12/18 12:02,1/12/18 12:05,0,100,203,1,1/12/18 12:05,R_3nklYIksXyU8gW6,,,,,anonymous,EN,1.887,1.887,17.69,1,18,1,5,N/A,4,0.788,41.155,44.808,16,4,4,5,2,3,3,4,3,5,4,5,4,7.158,32.533,34.83,16,4,6,6,5,4,6.652,16.024,19.756,6,3,2,2,2,2,1,3,1,2,1,3,2,3,1,5,1,3,2,6.805,80.966,81.292,32,4
